lat,lon,name,ele,time,At,d,v,stops,orientation,reorientation
41.603446,2.28293,E3,135.011,2022-04-29 15:31:52+00:00,5.0,6.105236160399358,1.2210472320798718,moving,255.22746960699143,9.994695351872537
41.603432,2.282859,E3,135.018,2022-04-29 15:31:57+00:00,5.0,5.339959478094063,1.0679918956188126,moving,265.222164958864,-26.90624814751732
41.603428,2.282795,E3,134.974,2022-04-29 15:32:02+00:00,4.0,5.080917189118444,1.270229297279611,moving,238.31591681134665,19.8815297835543
41.603404,2.282743,E3,134.856,2022-04-29 15:32:06+00:00,4.0,5.436340370099087,1.3590850925247715,moving,258.1974465949009,3.8486437427200713
41.603394,2.282679,E3,134.921,2022-04-29 15:32:10+00:00,4.0,5.624962105180841,1.4062405262952102,moving,262.046090337621,4.971307516336481
41.603387,2.282612,E3,135.009,2022-04-29 15:32:14+00:00,5.0,6.4110029621909,1.28220059243818,moving,267.0173978539575,27.671200659264457
41.603384,2.282535,E3,134.958,2022-04-29 15:32:19+00:00,4.0,5.856764962781963,1.464191240695491,moving,294.688598513222,-3.9197010443176055
41.603406,2.282471,E3,134.757,2022-04-29 15:32:23+00:00,5.0,5.958006368828381,1.1916012737656765,moving,290.7688974689044,-2.5653358703187905
41.603425,2.282404,E3,134.758,2022-04-29 15:32:28+00:00,4.0,5.339173778340748,1.334793444585187,moving,288.2035615985856,-21.30685287452593
41.60344,2.282343,E3,134.86,2022-04-29 15:32:32+00:00,5.0,6.161908514237684,1.2323817028475368,moving,266.89670872405964,-11.23806776170872
41.603437,2.282269,E3,134.57,2022-04-29 15:32:37+00:00,5.0,5.835853691410657,1.1671707382821317,moving,255.6586409623509,6.268508287470667
41.603424,2.282201,E3,134.571,2022-04-29 15:32:42+00:00,4.0,5.542624439039385,1.3856561097598463,moving,261.9271492498216,-22.765273487869848
41.603417,2.282135,E3,134.485,2022-04-29 15:32:46+00:00,4.0,5.422930392901936,1.355732598225484,moving,239.16187576195173,45.81231015076671
41.603392,2.282079,E3,134.431,2022-04-29 15:32:50+00:00,6.0,5.594529977709873,0.9324216629516454,moving,284.97418591271844,-3.171588070678922
41.603405,2.282014,E3,134.458,2022-04-29 15:32:56+00:00,5.0,5.436339482118116,1.087267896423623,moving,281.8025978420395,36.29547370526677
41.603415,2.28195,E3,134.379,2022-04-29 15:33:01+00:00,4.0,5.975901524345873,1.4939753810864682,moving,318.0980715473063,-52.951388181590005
41.603455,2.281902,E3,134.105,2022-04-29 15:33:05+00:00,5.0,5.257104170449003,1.0514208340898006,moving,265.1466833657163,-13.889902772563689
41.603451,2.281839,E3,133.925,2022-04-29 15:33:10+00:00,5.0,5.882821047344649,1.1765642094689297,moving,251.2567805931526,27.684464363037307
41.603434,2.281772,E3,133.809,2022-04-29 15:33:15+00:00,7.0,5.723541573735674,0.8176487962479534,moving,278.9412449561899,59.00906671323787
41.603442,2.281704,E3,133.828,2022-04-29 15:33:22+00:00,8.0,5.758544601177642,0.7198180751472053,moving,337.9503116694278,66.00590207955764
41.60349,2.281678,E3,133.627,2022-04-29 15:33:30+00:00,5.0,5.86967880306469,1.173935760612938,moving,43.95621374898542,40.34446374035127
41.603528,2.281727,E3,133.768,2022-04-29 15:33:35+00:00,5.0,5.598510563972624,1.1197021127945248,moving,84.30067748933669,-34.43496968893271
41.603533,2.281794,E3,133.85,2022-04-29 15:33:40+00:00,6.0,5.002710670364396,0.8337851117273992,moving,49.86570780040398,-52.38427706401745
41.603562,2.28184,E3,134.19,2022-04-29 15:33:46+00:00,6.0,5.676424506642611,0.946070751107102,moving,357.4814307363865,29.53257496358213
41.603613,2.281837,E3,134.131,2022-04-29 15:33:52+00:00,8.0,5.491751935779333,0.6864689919724166,moving,27.014005699968664,-1.2369399308661286
41.603657,2.281867,E3,134.185,2022-04-29 15:34:00+00:00,5.0,5.927150416355056,1.1854300832710112,moving,25.77706576910253,-4.08728254139055
41.603705,2.281898,E3,134.121,2022-04-29 15:34:05+00:00,5.0,5.624376188181063,1.1248752376362126,moving,21.689783227711985,8.112042957824826
41.603752,2.281923,E3,134.568,2022-04-29 15:34:10+00:00,11.0,6.022661490302006,0.547514680936546,stop,29.80182618553681,-79.56820980099286
41.603799,2.281959,E3,135.021,2022-04-29 15:34:21+00:00,315.0,5.336760208204645,0.0169420958990623,stop,310.23361638454395,141.43162018991063
41.60383,2.28191,E3,135.041,2022-04-29 15:39:36+00:00,188.0,7.65270267991525,0.0407058653186981,stop,91.66523657445458,125.12222491669138
41.603828,2.282002,E3,134.905,2022-04-29 15:42:44+00:00,67.0,5.553758131981198,0.0828919124176298,stop,216.787461491146,-15.934037331822624
41.603788,2.281962,E3,134.709,2022-04-29 15:43:51+00:00,129.0,6.306439379024207,0.0488871269691799,stop,200.8534241593233,-1.8718724793823185
41.603735,2.281935,E3,134.713,2022-04-29 15:46:00+00:00,6.0,5.879450895813258,0.979908482635543,moving,198.98155167994105,6.980401523787975
41.603685,2.281912,E3,134.752,2022-04-29 15:46:06+00:00,4.0,5.318053088082034,1.3295132720205085,moving,205.961953203729,-37.787255791087006
41.603642,2.281884,E3,134.893,2022-04-29 15:46:10+00:00,21.0,5.680299314961948,0.2704904435696165,stop,168.174697412642,31.886669514974045
41.603592,2.281898,E3,134.835,2022-04-29 15:46:31+00:00,4.0,5.090227308948362,1.2725568272370904,moving,200.06136692761604,4.236681656203444
41.603549,2.281877,E3,134.855,2022-04-29 15:46:35+00:00,5.0,6.466116752920077,1.2932233505840154,moving,204.29804858381948,43.60601399919352
