lat,lon,name,ele,time,At,d,v,stops,orientation,reorientation
41.602758,2.282904,G1,139.035,2022-04-30 11:01:53+00:00,4.0,5.330268674001957,1.3325671685004892,moving,308.74322911263744,2.6710283112079765
41.602788,2.282854,G1,139.019,2022-04-30 11:01:57+00:00,4.0,5.210962355133932,1.302740588783483,moving,311.4142574238454,-29.24222244057984
41.602819,2.282807,G1,139.009,2022-04-30 11:02:01+00:00,5.0,5.273716771605905,1.054743354321181,moving,282.1720349832656,-19.318103009438687
41.602829,2.282745,G1,139.019,2022-04-30 11:02:06+00:00,7.0,5.363113237073537,0.7661590338676482,moving,262.8539319738269,9.466719261713363
41.602823,2.282681,G1,139.009,2022-04-30 11:02:13+00:00,7.0,5.492253492715083,0.7846076418164404,moving,272.32065123554025,-16.397153240854635
41.602825,2.282615,G1,139.032,2022-04-30 11:02:20+00:00,38.0,5.486194984149855,0.1443735522144698,stop,255.9234979946856,-18.662108923998545
41.602813,2.282551,G1,138.951,2022-04-30 11:02:58+00:00,7.0,5.140226394656038,0.7343180563794339,moving,237.26138907068707,10.994098142339196
41.602788,2.282499,G1,138.782,2022-04-30 11:03:05+00:00,7.0,5.10249122351636,0.7289273176451943,moving,248.25548721302627,9.760107147916784
41.602771,2.282442,G1,138.535,2022-04-30 11:03:12+00:00,7.0,5.355028545890404,0.7650040779843434,moving,258.01559436094306,11.984426554908396
41.602761,2.282379,G1,138.421,2022-04-30 11:03:19+00:00,6.0,5.238311160092093,0.8730518600153488,moving,270.00002091585145,26.37494000995207
41.602761,2.282316,G1,138.382,2022-04-30 11:03:25+00:00,11.0,8.25996274909857,0.7509057044635064,stop,296.3749609258035,-35.737333887511284
41.602794,2.282227,G1,138.387,2022-04-30 11:03:36+00:00,5.0,6.1517328201642245,1.2303465640328448,moving,260.63762703829224,15.2357872466888
41.602785,2.282154,G1,138.345,2022-04-30 11:03:41+00:00,4.0,6.519751129951897,1.6299377824879742,moving,275.87341428498104,-0.9103433816976576
41.602791,2.282076,G1,138.454,2022-04-30 11:03:45+00:00,5.0,6.426471823151485,1.285294364630297,moving,274.9630709032834,-3.7659951261867377
41.602796,2.281999,G1,138.447,2022-04-30 11:03:50+00:00,5.0,5.322617643283324,1.0645235286566648,moving,271.19707577709664,-23.81080476171352
41.602797,2.281935,G1,138.429,2022-04-30 11:03:55+00:00,8.0,5.4944369427189175,0.6868046178398647,moving,247.3862710153832,85.56173545526403
41.602778,2.281874,G1,138.421,2022-04-30 11:04:03+00:00,112.0,5.119045770079275,0.0457057658042792,stop,332.9480064706472,-66.59176348586749
41.602819,2.281846,G1,138.409,2022-04-30 11:05:55+00:00,131.0,5.248917465765563,0.0400680722577523,stop,266.35624298477967,37.41279836476031
41.602816,2.281783,G1,138.475,2022-04-30 11:08:06+00:00,550.0,5.401247056658797,0.009820449193925,stop,303.76904134954,44.496772935974434
41.602843,2.281729,G1,138.554,2022-04-30 11:17:16+00:00,16.0,6.132689279280672,0.383293079955042,stop,348.2658142855144,28.386402509055927
41.602897,2.281714,G1,138.635,2022-04-30 11:17:32+00:00,5.0,5.803118806781238,1.1606237613562476,moving,16.652216794570336,-50.975148634944674
41.602947,2.281734,G1,138.628,2022-04-30 11:17:37+00:00,6.0,6.193409188988541,1.0322348648314237,moving,325.67706815962566,11.763770464895911
41.602993,2.281692,G1,138.744,2022-04-30 11:17:43+00:00,4.0,5.418364110937931,1.3545910277344828,moving,337.4408386245216,-11.051932979795764
41.603038,2.281667,G1,138.725,2022-04-30 11:17:47+00:00,7.0,6.0082708119891,0.8583244017127285,moving,326.3889056447258,29.06284270581341
41.603083,2.281627,G1,138.72,2022-04-30 11:17:54+00:00,5.0,5.242671229684508,1.0485342459369016,moving,355.4517483505392,-1.7731675576848716
41.60313,2.281622,G1,138.778,2022-04-30 11:17:59+00:00,6.0,6.041257741803786,1.006876290300631,moving,353.67858079285435,15.175983052449736
41.603184,2.281614,G1,138.787,2022-04-30 11:18:05+00:00,5.0,5.40173307425748,1.080346614851496,moving,8.854563845304085,-2.9946023730526576
41.603232,2.281624,G1,138.719,2022-04-30 11:18:10+00:00,6.0,5.700730987504075,0.9501218312506792,moving,5.859961472251428,76.99387758920813
41.603283,2.281631,G1,138.709,2022-04-30 11:18:16+00:00,11.0,5.363075596267375,0.4875523269333977,stop,82.85383906145955,30.783732148046056
41.603289,2.281695,G1,138.719,2022-04-30 11:18:27+00:00,13.0,4.991914212985106,0.3839934009988543,stop,113.6375712095056,-73.21935345806497
41.603271,2.28175,G1,138.909,2022-04-30 11:18:40+00:00,16.0,5.257912650882581,0.3286195406801613,stop,40.41821775144064,48.40310780987818
41.603307,2.281791,G1,139.152,2022-04-30 11:18:56+00:00,19.0,5.405704735689343,0.284510775562597,stop,88.82132556131882,86.72480166089673
41.603308,2.281856,G1,139.441,2022-04-30 11:19:15+00:00,8.0,5.3535231652959,0.6691903956619875,moving,175.54612722221557,159.13633139748504
41.60326,2.281861,G1,139.752,2022-04-30 11:19:23+00:00,24.0,6.0274813935421685,0.251145058064257,stop,334.6824586197006,-4.775324538873463
41.603309,2.28183,G1,139.885,2022-04-30 11:19:47+00:00,21.0,5.14069149999653,0.2447948333331681,stop,329.9071340808271,-104.99282925256358
41.603349,2.281799,G1,139.831,2022-04-30 11:20:08+00:00,30.0,5.181615848957004,0.1727205282985668,stop,224.9143048282636,-169.72948773916823
41.603316,2.281755,G1,139.812,2022-04-30 11:20:38+00:00,318.0,5.063779266831449,0.0159238341724259,stop,55.1848170890953,-42.36387840751081
41.603342,2.281805,G1,139.887,2022-04-30 11:25:56+00:00,27.0,5.245752109798377,0.1942871151777176,stop,12.820938681584494,8.978679673764304
41.603388,2.281819,G1,139.955,2022-04-30 11:26:23+00:00,8.0,5.149641732342683,0.6437052165428354,moving,21.7996183553488,-15.30789788915746
41.603431,2.281842,G1,139.964,2022-04-30 11:26:31+00:00,5.0,5.147974412023895,1.029594882404779,moving,6.491720466191339,10.327550435733713
41.603477,2.281849,G1,139.939,2022-04-30 11:26:36+00:00,7.0,5.45971620951991,0.7799594585028443,moving,16.81927090192505,9.142704951016242
41.603524,2.281868,G1,139.901,2022-04-30 11:26:43+00:00,8.0,5.318054951899247,0.6647568689874058,moving,25.961975852941293,-33.62769545801268
41.603567,2.281896,G1,140.021,2022-04-30 11:26:51+00:00,13.0,5.609880827086233,0.4315292943912486,stop,352.3342803949286,-68.25756747973759
41.603617,2.281887,G1,140.209,2022-04-30 11:27:04+00:00,15.0,5.486130670129408,0.3657420446752938,stop,284.076712915191,65.11465798236094
41.603629,2.281823,G1,140.524,2022-04-30 11:27:19+00:00,8.0,5.320553460881601,0.6650691826102001,moving,349.191370897552,49.76013865200753
41.603676,2.281811,G1,140.833,2022-04-30 11:27:27+00:00,6.0,5.290379220606145,0.8817298701010241,moving,38.95150954955949,-28.77744776527913
41.603713,2.281851,G1,141.184,2022-04-30 11:27:33+00:00,11.0,5.648566295918992,0.5135060269017265,stop,10.174061784280354,-18.85062146061256
41.603763,2.281863,G1,141.277,2022-04-30 11:27:44+00:00,5.0,5.51162825495066,1.102325650990132,moving,351.3234403236678,18.850606177411976
41.603812,2.281853,G1,141.223,2022-04-30 11:27:49+00:00,6.0,5.648566025512079,0.9414276709186798,moving,10.174046501079772,-27.33758048923852
41.603862,2.281865,G1,141.364,2022-04-30 11:27:55+00:00,6.0,5.353371867392427,0.8922286445654045,moving,342.83646601184125,58.501898473421306
41.603908,2.281846,G1,141.579,2022-04-30 11:28:01+00:00,14.0,5.035318746815651,0.3596656247725465,stop,41.33836448526256,42.69700461607874
41.603942,2.281886,G1,141.727,2022-04-30 11:28:15+00:00,5.0,5.35032657451743,1.070065314903486,moving,84.0353691013413,-8.376884743175196
41.603947,2.28195,G1,141.836,2022-04-30 11:28:20+00:00,7.0,5.835809292233487,0.833687041747641,moving,75.6584843581661,-20.95716434273664
41.60396,2.282018,G1,141.997,2022-04-30 11:28:27+00:00,6.0,5.19567768765953,0.8659462812765883,moving,54.701320015429474,75.1888420067533
41.603987,2.282069,G1,141.923,2022-04-30 11:28:33+00:00,15.0,5.201549356410117,0.3467699570940078,stop,129.89016202218278,35.22117002474698
41.603957,2.282117,G1,141.925,2022-04-30 11:28:48+00:00,5.0,5.177599557785325,1.035519911557065,moving,165.11133204692976,-41.82595325819205
41.603912,2.282133,G1,141.909,2022-04-30 11:28:53+00:00,8.0,5.470498408778891,0.6838123010973614,moving,123.28537878873772,35.779189375417445
41.603885,2.282188,G1,141.91,2022-04-30 11:29:01+00:00,11.0,5.119341668467078,0.4653946971333706,stop,159.06456816415516,-50.08715773472602
41.603842,2.28221,G1,141.819,2022-04-30 11:29:12+00:00,22.0,6.154781544832099,0.2797627974923681,stop,108.97741042942914,129.8240468545647
41.603824,2.28228,G1,141.61,2022-04-30 11:29:34+00:00,65.0,5.151833631421655,0.0792589789449485,stop,238.80145728399384,59.342461683823615
41.6038,2.282227,G1,141.393,2022-04-30 11:30:39+00:00,92.0,5.186246541353967,0.056372245014717,stop,298.14391896781746,-61.39106760348534
41.603822,2.282172,G1,141.339,2022-04-30 11:32:11+00:00,12.0,5.070430911170997,0.4225359092642498,stop,236.7528513643321,151.93183791956812
41.603797,2.282121,G1,141.33,2022-04-30 11:32:23+00:00,11.0,5.196768673850476,0.4724335158045887,stop,28.68468928390024,-22.58736918775162
41.603838,2.282151,G1,141.415,2022-04-30 11:32:34+00:00,14.0,5.4795497164202045,0.3913964083157289,stop,6.097320096148621,-92.45346092832769
41.603887,2.282158,G1,141.733,2022-04-30 11:32:48+00:00,17.0,5.248830697292712,0.3087547468995713,stop,273.6438591678209,156.59349564187363
41.60389,2.282095,G1,141.792,2022-04-30 11:33:05+00:00,6.0,5.919450588409986,0.986575098068331,moving,70.23735480969458,-140.60987349718073
41.603908,2.282162,G1,141.768,2022-04-30 11:33:11+00:00,4.0,5.296524752333645,1.3241311880834112,moving,289.62748131251385,129.97861538882285
41.603924,2.282102,G1,141.742,2022-04-30 11:33:15+00:00,11.0,5.494453559031537,0.499495778093776,stop,59.606096701336696,-68.1116624672162
41.603949,2.282159,G1,141.626,2022-04-30 11:33:26+00:00,2.0,7.308047875248852,3.654023937624426,moving,351.4944342341205,-146.4456281794462
41.604014,2.282146,G1,141.609,2022-04-30 11:33:28+00:00,4.0,5.891463109863129,1.4728657774657825,moving,205.0488060546743,13.960943235679537
41.603966,2.282116,G1,141.657,2022-04-30 11:33:32+00:00,2.0,8.586048714375776,4.293024357187888,moving,219.00974929035385,0.0458544771621518
41.603906,2.282051,G1,141.676,2022-04-30 11:33:34+00:00,7.0,6.730103913855485,0.9614434162650694,moving,219.055603767516,-72.42992394321945
41.603859,2.282,G1,141.637,2022-04-30 11:33:41+00:00,5.0,5.592404500556738,1.1184809001113476,moving,146.62567982429653,14.197016694548324
41.603817,2.282037,G1,141.67,2022-04-30 11:33:46+00:00,12.0,5.0623063999354825,0.4218588666612902,stop,160.82269651884485,-110.6062574396986
41.603774,2.282057,G1,141.636,2022-04-30 11:33:58+00:00,24.0,5.7344829422043375,0.238936789258514,stop,50.216439079146255,-5.753506430223013
41.603807,2.28211,G1,141.667,2022-04-30 11:34:22+00:00,35.0,4.985595908632329,0.1424455973894951,stop,44.46293264892324,-27.390539897513293
41.603839,2.282152,G1,141.652,2022-04-30 11:34:57+00:00,6.0,6.513956346722342,1.0856593911203902,moving,17.07239275140995,133.6432399467672
41.603895,2.282175,G1,141.75,2022-04-30 11:35:03+00:00,80.0,5.0994984368183705,0.0637437304602296,stop,150.71563269817716,39.42232564171499
41.603855,2.282205,G1,141.699,2022-04-30 11:36:23+00:00,9.0,5.196094311598681,0.5773438123998534,moving,190.13795833989207,22.18420646990469
41.603809,2.282194,G1,141.657,2022-04-30 11:36:32+00:00,89.0,5.131738555903133,0.0576599837741925,stop,212.32216480979685,89.44107055276822
41.60377,2.282161,G1,141.7,2022-04-30 11:38:01+00:00,3.0,5.280812992969089,1.760270997656363,moving,301.76323536256507,-26.75152279096716
41.603795,2.282107,G1,141.92,2022-04-30 11:38:04+00:00,3.0,5.091399105914455,1.6971330353048184,moving,275.0117125715979,157.6277370316476
41.603799,2.282046,G1,142.209,2022-04-30 11:38:07+00:00,6.0,6.707844690347737,1.117974115057956,moving,72.63944960324551,18.55760258737752
41.603817,2.282123,G1,142.256,2022-04-30 11:38:13+00:00,79.0,5.322533543317128,0.0673738423204699,stop,91.19705219062304,-42.915964264255024
41.603816,2.282187,G1,142.255,2022-04-30 11:39:32+00:00,1239.0,6.015264486798588,0.0048549350175936,stop,48.281087926368,-115.02017874250691
41.603852,2.282241,G1,142.346,2022-04-30 12:00:11+00:00,16.0,5.068156415798109,0.3167597759873818,stop,293.2609091838611,-2.9392689191713544
41.60387,2.282185,G1,142.399,2022-04-30 12:00:27+00:00,5.0,5.763228172311293,1.1526456344622589,moving,290.32164026468973,33.602052678744315
41.603888,2.28212,G1,142.375,2022-04-30 12:00:32+00:00,53.0,5.365532428338512,0.1012364609120474,stop,323.92369294343405,13.041484371439594
41.603927,2.282082,G1,142.446,2022-04-30 12:01:25+00:00,7.0,6.162277228725326,0.8803253183893324,moving,336.96517731487364,4.751174040345404
41.603978,2.282053,G1,142.861,2022-04-30 12:01:32+00:00,4.0,5.0356042611148935,1.2589010652787234,moving,341.71635135521905,15.491753420798377
41.604021,2.282034,G1,143.159,2022-04-30 12:01:36+00:00,6.0,5.121045118771975,0.8535075197953291,moving,357.2081047760174,0.1706881911123901
41.604067,2.282031,G1,143.268,2022-04-30 12:01:42+00:00,11.0,5.45425813964799,0.4958416490589082,stop,357.3787929671298,7.267831321378253
41.604116,2.282028,G1,143.358,2022-04-30 12:01:53+00:00,13.0,5.131833503248076,0.394756423326775,stop,4.646624288508065,-4.646624288508065
41.604162,2.282033,G1,143.452,2022-04-30 12:02:06+00:00,9.0,5.114966625377052,0.5683296250418947,moving,0.0,-19.236404304777352
41.604208,2.282033,G1,143.417,2022-04-30 12:02:15+00:00,9.0,5.2996670226514,0.5888518914057111,moving,340.76359569522265,34.06939587632809
41.604253,2.282012,G1,143.409,2022-04-30 12:02:24+00:00,10.0,5.521349290491259,0.552134929049126,stop,14.832991571550735,46.44011595549233
41.604301,2.282029,G1,143.516,2022-04-30 12:02:34+00:00,17.0,5.783753007981269,0.3402207651753687,stop,61.27310752704307,113.0333298553836
41.604326,2.28209,G1,143.655,2022-04-30 12:02:51+00:00,29.0,5.028579057061413,0.1733992778297039,stop,174.30643738242668,-7.689440498911495
41.604281,2.282096,G1,143.656,2022-04-30 12:03:20+00:00,14.0,5.029145209601026,0.3592246578286447,stop,166.61699688351518,-3.62573917794316
41.604237,2.28211,G1,143.699,2022-04-30 12:03:34+00:00,8.0,5.116365767657457,0.6395457209571821,moving,162.99125770557202,17.008742294427975
41.604193,2.282128,G1,143.645,2022-04-30 12:03:42+00:00,9.0,5.0037716990132335,0.5559746332236926,moving,180.0,-0.7140123737336808
41.604148,2.282128,G1,143.586,2022-04-30 12:03:51+00:00,15.0,6.672213683160722,0.4448142455440481,stop,179.28598762626632,36.38636252371819
41.604088,2.282129,G1,143.421,2022-04-30 12:04:06+00:00,13.0,6.843900168380557,0.5264538591061967,stop,215.6723501499845,-20.224581325702843
41.604038,2.282081,G1,143.399,2022-04-30 12:04:19+00:00,15.0,5.306677267050861,0.3537784844700574,stop,195.44776882428167,134.79089847398976
41.603992,2.282064,G1,143.358,2022-04-30 12:04:34+00:00,12.0,8.710114800592846,0.7258429000494039,stop,330.2386672982714,-160.1652292749206
41.60406,2.282012,G1,143.325,2022-04-30 12:04:46+00:00,123.0,5.305588729900795,0.0431348677227706,stop,170.07343802335083,-156.33648837117255
41.604013,2.282023,G1,143.226,2022-04-30 12:06:49+00:00,50.0,5.952397618360788,0.1190479523672157,stop,13.736949652178282,-44.330418428852056
41.604065,2.28204,G1,143.208,2022-04-30 12:07:39+00:00,11.0,5.554579620509095,0.504961783682645,stop,329.4065312233262,27.23708484521535
41.604108,2.282006,G1,143.209,2022-04-30 12:07:50+00:00,5.0,5.680685430473011,1.1361370860946025,moving,356.6436160685416,45.39729309052342
41.604159,2.282002,G1,143.393,2022-04-30 12:07:55+00:00,17.0,5.090611190859883,0.2994477171094049,stop,42.040909159065,-17.877552589442132
41.604193,2.282043,G1,143.352,2022-04-30 12:08:12+00:00,8.0,6.093660533134134,0.7617075666417668,moving,24.163356569622863,48.607457716806096
41.604243,2.282073,G1,143.413,2022-04-30 12:08:20+00:00,9.0,6.006595031236909,0.6673994479152121,moving,72.77081428642896,10.297330720402895
41.604259,2.282142,G1,143.476,2022-04-30 12:08:29+00:00,5.0,5.528034383810108,1.1056068767620215,moving,83.06814500683186,21.671479646973808
41.604265,2.282208,G1,143.432,2022-04-30 12:08:34+00:00,6.0,5.244483614103662,0.8740806023506104,moving,104.73962465380566,-20.61316725357085
41.604253,2.282269,G1,143.493,2022-04-30 12:08:40+00:00,5.0,5.433003672216865,1.086600734443373,moving,84.12645740023481,2.3414922974743604
41.604258,2.282334,G1,143.428,2022-04-30 12:08:45+00:00,6.0,5.414766504006727,0.9024610840011212,moving,86.46794969770917,-32.27707080140766
41.604261,2.282399,G1,143.476,2022-04-30 12:08:51+00:00,18.0,7.791997534908326,0.4328887519393514,stop,54.19087889630151,8.507690389400409
41.604302,2.282475,G1,143.485,2022-04-30 12:09:09+00:00,7.0,5.333421963349583,0.7619174233356547,moving,62.69856928570192,124.71077805551946
41.604324,2.282532,G1,143.478,2022-04-30 12:09:16+00:00,12.0,5.158035482981277,0.4298362902484398,stop,187.4093473412213,-179.74371119955495
41.604278,2.282524,G1,143.633,2022-04-30 12:09:28+00:00,23.0,5.609879727169931,0.2439078142247796,stop,7.665636141666425,-27.764165000053595
41.604328,2.282533,G1,143.826,2022-04-30 12:09:51+00:00,3.0,5.565056639665112,1.8550188798883709,moving,339.90147114161283,-66.34209745516597
41.604375,2.28251,G1,144.009,2022-04-30 12:09:54+00:00,24.0,7.164351202371767,0.2985146334321569,stop,273.55937368644686,-116.9252694953791
41.604379,2.282424,G1,144.158,2022-04-30 12:10:18+00:00,42.0,5.450785628044955,0.1297806101915465,stop,156.63410419106776,21.293759145124227
41.604334,2.28245,G1,144.127,2022-04-30 12:11:00+00:00,3.0,6.898596469493956,2.2995321564979854,moving,177.927863336192,-114.15768198393113
41.604272,2.282453,G1,144.148,2022-04-30 12:11:03+00:00,8.0,5.283346067358837,0.6604182584198546,moving,63.77018135226086,-47.11830487609439
41.604293,2.28251,G1,144.191,2022-04-30 12:11:11+00:00,38.0,5.803108497168455,0.152713381504433,stop,16.65187647616648,-22.62809510943725
41.604343,2.28253,G1,144.257,2022-04-30 12:11:49+00:00,13.0,5.590127606061622,0.430009815850894,stop,354.0237813667292,154.04823014358493
41.604393,2.282523,G1,144.258,2022-04-30 12:12:02+00:00,54.0,5.502665635069345,0.1019012154642471,stop,148.07201151031416,-115.87413688739554
41.604351,2.282558,G1,144.353,2022-04-30 12:12:56+00:00,27.0,4.993314971795568,0.184937591547984,stop,32.19787462291862,-7.725213476111378
41.604389,2.28259,G1,144.391,2022-04-30 12:13:23+00:00,9.0,5.619860686453397,0.6244289651614886,moving,24.47266114680724,22.88846193952156
41.604435,2.282618,G1,144.32,2022-04-30 12:13:32+00:00,2.0,6.894536697586876,3.447268348793438,moving,47.3611230863288,-135.14120772482534
41.604477,2.282679,G1,144.224,2022-04-30 12:13:34+00:00,19.0,5.741353997992596,0.3021765262101366,stop,272.21991536150347,-56.182626300356816
41.604479,2.28261,G1,144.204,2022-04-30 12:13:53+00:00,4.0,5.087852135556381,1.2719630338890953,moving,216.03728906114665,-50.94610751326431
41.604442,2.282574,G1,144.314,2022-04-30 12:13:57+00:00,1.0,30.37808942454657,30.37808942454657,moving,165.09118154788234,-175.95912982988568
41.604178,2.282668,G1,144.409,2022-04-30 12:13:58+00:00,7.0,8.3787022972271,1.1969574710324429,moving,349.13205171799666,-73.43266569334281
41.604252,2.282649,G1,144.593,2022-04-30 12:14:05+00:00,6.0,5.59844836586915,0.9330747276448584,moving,275.69938602465385,31.687648945826595
41.604257,2.282582,G1,144.412,2022-04-30 12:14:11+00:00,6.0,5.127600947853366,0.854600157975561,moving,307.38703497048044,75.5764889162254
41.604285,2.282533,G1,144.443,2022-04-30 12:14:17+00:00,23.0,7.245909740984825,0.315039553955862,stop,22.963523886705843,-25.75540511395212
41.604345,2.282567,G1,144.446,2022-04-30 12:14:40+00:00,2.0,5.121045057763805,2.5605225288819025,moving,357.2081187727537,-22.342881888356946
41.604391,2.282564,G1,144.492,2022-04-30 12:14:42+00:00,16.0,6.264079569791123,0.3915049731119452,stop,334.8652368843968,-13.035840920114936
41.604442,2.282532,G1,144.423,2022-04-30 12:14:58+00:00,4.0,5.516084955148435,1.3790212387871088,moving,321.82939596428184,109.04807151577558
41.604481,2.282491,G1,144.488,2022-04-30 12:15:02+00:00,9.0,7.128118231652458,0.7920131368502731,moving,70.87746748005742,166.24445140302802
41.604502,2.282572,G1,144.416,2022-04-30 12:15:11+00:00,10.0,5.940189890369909,0.5940189890369909,stop,237.12191888308544,-30.377636333311383
41.604473,2.282512,G1,144.485,2022-04-30 12:15:21+00:00,4.0,5.727692650321895,1.4319231625804738,moving,206.74428254977408,-159.85537764980373
41.604427,2.282481,G1,144.497,2022-04-30 12:15:25+00:00,90.0,6.8336041820287,0.0759289353558744,stop,46.88890489997033,-16.14481969988185
41.604469,2.282541,G1,144.423,2022-04-30 12:16:55+00:00,17.0,5.692623249702241,0.3348601911589554,stop,30.74408520008848,140.67998162460566
41.604513,2.282576,G1,144.425,2022-04-30 12:17:12+00:00,12.0,13.38181667422856,1.1151513895190466,stop,171.42406682469414,34.20237599193726
41.604394,2.2826,G1,144.409,2022-04-30 12:17:24+00:00,18.0,6.536285214111849,0.3631269563395471,stop,205.6264428166314,-15.488559252156165
41.604341,2.282566,G1,144.56,2022-04-30 12:17:42+00:00,16.0,5.196093098266676,0.3247558186416672,stop,190.13788356447523,61.10239034068425
41.604295,2.282555,G1,144.649,2022-04-30 12:17:58+00:00,57.0,5.53207644213728,0.097053972669075,stop,251.24027390515948,122.32093694604764
41.604279,2.282492,G1,144.79,2022-04-30 12:18:55+00:00,9.0,7.091805401551473,0.7879783779501637,moving,13.561210851207136,163.09549238323513
41.604341,2.282512,G1,144.783,2022-04-30 12:19:04+00:00,78.0,7.128607954533959,0.0913924096735123,stop,176.65670323444226,62.73818423545055
41.604277,2.282517,G1,144.849,2022-04-30 12:20:22+00:00,349.0,5.023355911554214,0.0143935699471467,stop,239.3948874698928,-25.53102008212906
41.604254,2.282465,G1,144.85,2022-04-30 12:26:11+00:00,6.0,5.222531707176227,0.8704219511960378,moving,213.8638673877637,95.21139342590354
41.604215,2.28243,G1,144.885,2022-04-30 12:26:17+00:00,5.0,5.9977552042917255,1.1995510408583452,moving,309.0752608136673,14.887392505744856
41.604249,2.282374,G1,144.683,2022-04-30 12:26:22+00:00,4.0,5.087857402821488,1.271964350705372,moving,323.96265331941214,-75.0361816196027
41.604286,2.282338,G1,144.612,2022-04-30 12:26:26+00:00,6.0,5.257208705583891,0.8762014509306485,moving,248.92647169980944,15.200027861180388
41.604269,2.282279,G1,144.563,2022-04-30 12:26:32+00:00,4.0,5.433002755667165,1.3582506889167911,moving,264.1264995609898,32.10331627380066
41.604264,2.282214,G1,144.544,2022-04-30 12:26:36+00:00,7.0,5.283346594454967,0.7547637992078524,moving,296.2298158347905,47.65604089699565
41.604285,2.282157,G1,144.618,2022-04-30 12:26:43+00:00,4.0,5.092664275527774,1.2731660688819435,moving,343.88585673178613,-16.98547595594107
41.604329,2.28214,G1,144.609,2022-04-30 12:26:47+00:00,6.0,5.176658731437057,0.8627764552395095,moving,326.90038077584506,1.4295481839428703
41.604368,2.282106,G1,144.667,2022-04-30 12:26:53+00:00,8.0,5.226029235091298,0.6532536543864123,moving,328.32992895978794,65.7496986056048
41.604408,2.282073,G1,144.746,2022-04-30 12:27:01+00:00,9.0,5.638555189017582,0.6265061321130647,moving,34.07962756539274,-1.081611734232979
41.60445,2.282111,G1,144.817,2022-04-30 12:27:10+00:00,12.0,5.038107783889799,0.4198423153241499,stop,32.99801583115976,-23.274345970052025
41.604488,2.282144,G1,144.81,2022-04-30 12:27:22+00:00,6.0,5.415151803944812,0.9025253006574686,moving,9.723669861107735,0.2548239683807196
41.604536,2.282155,G1,144.856,2022-04-30 12:27:28+00:00,7.0,5.758044048850321,0.8225777212643316,moving,9.978493829488457,-42.83202640863493
41.604587,2.282167,G1,144.877,2022-04-30 12:27:35+00:00,5.0,5.824080230544722,1.1648160461089443,moving,327.1464674208535,10.38131801761972
41.604631,2.282129,G1,144.912,2022-04-30 12:27:40+00:00,7.0,5.655621464788674,0.8079459235412392,moving,337.52778543847324,71.2228819403636
41.604678,2.282103,G1,144.96,2022-04-30 12:27:47+00:00,5.0,6.745865118157105,1.349173023631421,moving,48.75066737883685,24.50248144976149
41.604718,2.282164,G1,144.939,2022-04-30 12:27:52+00:00,3.0,6.946229140506934,2.315409713502312,moving,73.25314882859834,-14.196075110670506
41.604736,2.282244,G1,145.263,2022-04-30 12:27:55+00:00,6.0,5.622636756095864,0.9371061260159772,moving,59.05707371792784,7.681723918383852
41.604762,2.282302,G1,145.344,2022-04-30 12:28:01+00:00,6.0,5.068096086357477,0.8446826810595796,moving,66.73879763631169,-43.82808691856184
41.60478,2.282358,G1,145.318,2022-04-30 12:28:07+00:00,5.0,5.55303085311632,1.1106061706232642,moving,22.91071071774985,-23.803189328726376
41.604826,2.282384,G1,145.309,2022-04-30 12:28:12+00:00,4.0,5.338004054998051,1.3345010137495128,moving,359.1075213890235,-19.205893786241404
41.604874,2.282383,G1,145.467,2022-04-30 12:28:16+00:00,6.0,5.565051078833197,0.9275085131388662,moving,339.90162760278207,16.605369573057146
41.604921,2.28236,G1,145.576,2022-04-30 12:28:22+00:00,5.0,5.458692318762208,1.0917384637524417,moving,356.5069971758392,-2.7302498410830367
41.60497,2.282356,G1,145.667,2022-04-30 12:28:27+00:00,4.0,5.368995714389032,1.342248928597258,moving,353.7767473347562,4.400790450633565
41.605018,2.282349,G1,145.79,2022-04-30 12:28:31+00:00,5.0,5.228806445308631,1.045761289061726,moving,358.17753778538975,26.420733300092422
